idx,sentence,followup,stype,ftype,OP1,OP1_type,OP2,OP2_type
89,I didn't hit most targets at the shooting range,but I did hit around half of the targets.,S,F2,didn't,NEG,most,QD
89,I missed most targets at the shooting range,"in fact, I only hit two out of ten targets.",Sc,F1,na_control,na_control,na_control,na_control
89,I missed most targets at the shooting range,but I did hit around half of the targets.,Sc,F2,na_control,na_control,na_control,na_control
90,She didn't see an issue with the project plan,and so the project had problems.,S,F1,didn't,NEG,a/an,IND
90,She didn't see an issue with the project plan,because the project plan was flawless.,S,F2,didn't,NEG,a/an,IND
90,She missed an issue with the project plan,and so the project had problems.,Sc,F1,na_control,na_control,na_control,na_control
90,She missed an issue with the project plan,because the project plan was flawless.,Sc,F2,na_control,na_control,na_control,na_control
91,I didn't agree with every point in the argument,as I found all of them to be flawed.,S,F1,didn't,NEG,every,QD
91,I didn't agree with every point in the argument,though I agreed with some points.,S,F2,didn't,NEG,every,QD
91,I disagreed with every point in the argument,as I found all of them to be flawed.,Sc,F1,na_control,na_control,na_control,na_control
91,I disagreed with every point in the argument,though I agreed with some points.,Sc,F2,na_control,na_control,na_control,na_control
92,I didn't recall a fact from the history lecture,even though it was an important fact.,S,F1,didn't,NEG,a/an,IND
92,I didn't recall a fact from the history lecture,which is to say that I forgot all facts from the history lecture.,S,F2,didn't,NEG,a/an,IND
92,I forgot a fact from the history lecture,even though it was an important fact.,Sc,F1,na_control,na_control,na_control,na_control
92,I forgot a fact from the history lecture,which is to say that I forgot all facts from the history lecture.,Sc,F2,na_control,na_control,na_control,na_control
93,I didn't answer most questions in the exam,"in fact, I only answered five out of twenty questions.",S,F1,didn't,NEG,most,QD
93,I didn't answer most questions in the exam,but I did answer around half of the questions.,S,F2,didn't,NEG,most,QD
93,I skipped most questions in the exam,"in fact, I only answered five out of twenty questions.",Sc,F1,na_control,na_control,na_control,na_control
93,I skipped most questions in the exam,but I did answer around half of the questions.,Sc,F2,na_control,na_control,na_control,na_control
94,He didn't find a mistake in the report,and so the report had to be revised.,S,F1,didn't,NEG,a/an,IND
94,He didn't find a mistake in the report,because the report was perfect.,S,F2,didn't,NEG,a/an,IND
94,He overlooked a mistake in the report,and so the report had to be revised.,Sc,F1,na_control,na_control,na_control,na_control
94,He overlooked a mistake in the report,because the report was perfect.,Sc,F2,na_control,na_control,na_control,na_control
95,I didn't finish four required tasks on Monday,even though I was supposed to complete them.,S,F1,didn't,NEG,four,NMR
95,I didn't finish four required tasks on Monday,since I didn't have any tasks required.,S,F2,didn't,NEG,four,NMR
95,I left four required tasks incomplete on Monday,even though I was supposed to complete them.,Sc,F1,na_control,na_control,na_control,na_control
95,I left four required tasks incomplete on Monday,since I didn't have any tasks required.,Sc,F2,na_control,na_control,na_control,na_control
96,I didn't approve of every decision made by the committee,as I found all of them to be flawed.,S,F1,didn't,NEG,every,QD
96,I didn't approve of every decision made by the committee,though I agreed with some of them.,S,F2,didn't,NEG,every,QD
96,I disapproved of every decision made by the committee,as I found all of them to be flawed.,Sc,F1,na_control,na_control,na_control,na_control
96,I disapproved of every decision made by the committee,though I agreed with some of them.,Sc,F2,na_control,na_control,na_control,na_control
97,I didn't meet a few of my old friends,even though I was supposed to meet them.,S,F1,didn't,NEG,a few,QD
97,I didn't meet a few of my old friends,since there were no old friends to meet.,S,F2,didn't,NEG,a few,QD
97,I avoided a few of my old friends,even though I was supposed to meet them.,Sc,F1,na_control,na_control,na_control,na_control
97,I avoided a few of my old friends,since there were no old friends to meet.,Sc,F2,na_control,na_control,na_control,na_control
98,I didn't recall a quote from the book To Kill a Mockingbird,even though the quote was really impactful.,S,F1,didn't,NEG,a/an,IND
98,I didn't recall a quote from the book To Kill a Mockingbird,which is to say I didn't remember any quotes.,S,F2,didn't,NEG,a/an,IND
98,I forgot a quote from the book To Kill a Mockingbird,even though the quote was really impactful.,Sc,F1,na_control,na_control,na_control,na_control
98,I forgot a quote from the book To Kill a Mockingbird,which is to say I didn't remember any quotes.,Sc,F2,na_control,na_control,na_control,na_control
99,I didn't accept two offers for the project,despite the fact that my manager told me to accept them.,S,F1,didn't,NEG,two,NMR
99,I didn't accept two offers for the project,because there were no offers in the first place.,S,F2,didn't,NEG,two,NMR
99,I rejected two offers for the project,despite the fact that my manager told me to accept them.,Sc,F1,na_control,na_control,na_control,na_control
99,I rejected two offers for the project,because there were no offers in the first place.,Sc,F2,na_control,na_control,na_control,na_control
100,I didn't support all the policies of the government,as I found them to be unjust.,S,F1,didn't,NEG,all,QD
100,I didn't support all the policies of the government,though I approved of some of them.,S,F2,didn't,NEG,all,QD
100,I opposed all the policies of the government,as I found them to be unjust.,Sc,F1,na_control,na_control,na_control,na_control
100,I opposed all the policies of the government,though I approved of some of them.,Sc,F2,na_control,na_control,na_control,na_control
101,He didn't remember a scene from the movie Inception,even though the scene was really famous.,S,F1,didn't,NEG,a/an,IND
101,He didn't remember a scene from the movie Inception,which is to say he didn't remember anything from the movie.,S,F2,didn't,NEG,a/an,IND
101,He forgot a scene from the movie Inception,even though the scene was really famous.,Sc,F1,na_control,na_control,na_control,na_control
101,He forgot a scene from the movie Inception,which is to say he didn't remember anything from the movie.,Sc,F2,na_control,na_control,na_control,na_control
102,I didn't reject four proposals for the campaign,despite the fact that my director told me to reject them.,S,F1,didn't,NEG,four,NMR
102,I didn't reject four proposals for the campaign,because there were no proposals in the first place.,S,F2,didn't,NEG,four,NMR
102,I accepted four proposals for the campaign,despite the fact that my director told me to reject them.,Sc,F1,na_control,na_control,na_control,na_control
102,I accepted four proposals for the campaign,because there were no proposals in the first place.,Sc,F2,na_control,na_control,na_control,na_control
103,I didn't prevent some students from cheating on the test,although I saw them exchanging notes.,S,F1,didn't,NEG,some,QD
103,I didn't prevent some students from cheating on the test,because no students even tried to cheat in the first place.,S,F2,didn't,NEG,some,QD
103,I allowed some students to cheat on the test,although I saw them exchanging notes.,Sc,F1,na_control,na_control,na_control,na_control
103,I allowed some students to cheat on the test,because no students even tried to cheat in the first place.,Sc,F2,na_control,na_control,na_control,na_control
104,I didn't read all the chapters of the book,which is to say I didn't read any of them.,S,F1,didn't,NEG,all,QD
104,I didn't read all the chapters of the book,though I read most of them.,S,F2,didn't,NEG,all,QD
104,I skipped all the chapters of the book,which is to say I didn't read any of them.,Sc,F1,na_control,na_control,na_control,na_control
104,I skipped all the chapters of the book,though I read most of them.,Sc,F2,na_control,na_control,na_control,na_control
106,She didn't spot a mistake in the report,and so the report had incorrect information.,S,F1,didn't,NEG,a/an,IND
106,She didn't spot a mistake in the report,because the report had no mistakes.,S,F2,didn't,NEG,a/an,IND
106,She overlooked a mistake in the report,and so the report had incorrect information.,Sc,F1,na_control,na_control,na_control,na_control
106,She overlooked a mistake in the report,because the report had no mistakes.,Sc,F2,na_control,na_control,na_control,na_control
107,He didn't find an issue with the system,and so the system didn't function properly.,S,F1,didn't,NEG,a/an,IND
107,He didn't find an issue with the system,because the system had no issues.,S,F2,didn't,NEG,a/an,IND
107,He overlooked an issue with the system,and so the system didn't function properly.,Sc,F1,na_control,na_control,na_control,na_control
107,He overlooked an issue with the system,because the system had no issues.,Sc,F2,na_control,na_control,na_control,na_control
108,I didn't remember all the groceries on the list,and so I didn't buy any of them.,S,F1,didn't,NEG,all,QD
108,I didn't remember all the groceries on the list,but I did remember most of them.,S,F2,didn't,NEG,all,QD
108,I forgot all the groceries on the list,and so I didn't buy any of them.,Sc,F1,na_control,na_control,na_control,na_control
108,I forgot all the groceries on the list,but I did remember most of them.,Sc,F2,na_control,na_control,na_control,na_control
109,I didn't answer all the questions in the exam,and so I got 0 marks on the exam.,S,F1,didn't,NEG,all,QD
109,I didn't answer all the questions in the exam,though I did answer most of them.,S,F2,didn't,NEG,all,QD
109,I ignored all the questions in the exam,and so I got 0 marks on the exam.,Sc,F1,na_control,na_control,na_control,na_control
109,I ignored all the questions in the exam,though I did answer most of them.,Sc,F2,na_control,na_control,na_control,na_control
110,I didn't solve two algebra problems in the test,even though I knew the solutions to them.,S,F1,didn't,NEG,two,NMR
110,I didn't solve two algebra problems in the test,because there weren't even any algebra problems in the test.,S,F2,didn't,NEG,two,NMR
110,I messed up two algebra problems in the test,even though I knew the solutions to them.,Sc,F1,na_control,na_control,na_control,na_control
110,I messed up two algebra problems in the test,because there weren't even any algebra problems in the test.,Sc,F2,na_control,na_control,na_control,na_control
111,I didn't eat all the cookies in the jar,which is to say I didn't eat even one of them.,S,F1,didn't,NEG,all,QD
111,I didn't eat all the cookies in the jar,though I did eat most of them.,S,F2,didn't,NEG,all,QD
111,I stayed off all the cookies in the jar,which is to say I didn't eat even one of them.,Sc,F1,na_control,na_control,na_control,na_control
111,I stayed off all the cookies in the jar,though I did eat most of them.,Sc,F2,na_control,na_control,na_control,na_control
112,I didn't read every book in the library,as none of them were appealing.,S,F1,didn't,NEG,every,QD
112,I didn't read every book in the library,though I read most of them.,S,F2,didn't,NEG,every,QD
112,I skipped every book in the library,as none of them were appealing.,Sc,F1,na_control,na_control,na_control,na_control
112,I skipped every book in the library,though I read most of them.,Sc,F2,na_control,na_control,na_control,na_control
113,I didn't complete several tasks at work today,because those tasks were too difficult.,S,F1,didn't,NEG,several,QD
113,I didn't complete several tasks at work today,because I didn't have any tasks assigned to me today.,S,F2,didn't,NEG,several,QD
113,I abandoned several tasks at work today,because those tasks were too difficult.,Sc,F1,na_control,na_control,na_control,na_control
113,I abandoned several tasks at work today,because I didn't have any tasks assigned to me today.,Sc,F2,na_control,na_control,na_control,na_control
114,I didn't pass three exams this semester,even though I studied hard for them.,S,F1,didn't,NEG,three,NMR
114,I didn't pass three exams this semester,since I didn't take any exams this semester.,S,F2,didn't,NEG,three,NMR
114,I failed three exams this semester,even though I studied hard for them.,Sc,F1,na_control,na_control,na_control,na_control
114,I failed three exams this semester,since I didn't take any exams this semester.,Sc,F2,na_control,na_control,na_control,na_control
115,I didn't answer most questions in the quiz,and only answered a few.,S,F1,didn't,NEG,most,QD
115,I didn't answer most questions in the quiz,but I did answer about half.,S,F2,didn't,NEG,most,QD
115,I skipped most questions in the quiz,and only answered a few.,Sc,F1,na_control,na_control,na_control,na_control
115,I skipped most questions in the quiz,but I did answer about half.,Sc,F2,na_control,na_control,na_control,na_control
117,I didn't consume two vitamin supplements with breakfast,even though I need to have them.,S,F1,didn't,NEG,two,NMR
117,I didn't consume two vitamin supplements with breakfast,because I don't consume any vitamin supplements.,S,F2,didn't,NEG,two,NMR
117,I skipped two vitamin supplements with breakfast,even though I need to have them.,Sc,F1,na_control,na_control,na_control,na_control
117,I skipped two vitamin supplements with breakfast,because I don't consume any vitamin supplements.,Sc,F2,na_control,na_control,na_control,na_control
118,I didn't meet a few old friends at the conference,even though they were expecting me.,S,F1,didn't,NEG,a few,QD
118,I didn't meet a few old friends at the conference,since there were no old friends at the conference.,S,F2,didn't,NEG,a few,QD
118,I avoided a few old friends at the reunion,even though they were expecting me.,Sc,F1,na_control,na_control,na_control,na_control
118,I avoided a few old friends at the reunion,since there were no old friends at the conference.,Sc,F2,na_control,na_control,na_control,na_control
119,I didn't watch most of the football match,as I only watched a few minutes of it.,S,F1,didn't,NEG,most,QD
119,I didn't watch most of the football match,though I did watch half of the match.,S,F2,didn't,NEG,most,QD
119,I missed most of the football match,as I only watched a few minutes of it.,Sc,F1,na_control,na_control,na_control,na_control
119,I missed most of the football match,though I did watch half of the match.,Sc,F2,na_control,na_control,na_control,na_control
120,I didn't finish four projects this week,even though I was supposed to finish them.,S,F1,didn't,NEG,four,NMR
120,I didn't finish four projects this week,since I didn't have any projects to work on.,S,F2,didn't,NEG,four,NMR
120,I abandoned four projects this week,even though I was supposed to finish them.,Sc,F1,na_control,na_control,na_control,na_control
120,I abandoned four projects this week,since I didn't have any projects to work on.,Sc,F2,na_control,na_control,na_control,na_control
121,I didn't talk to a few senior managers at the meeting,even though they tried to engage me in conversation.,S,F1,didn't,NEG,a few,QD
121,I didn't talk to a few senior managers at the meeting,since there were no senior managers at the meeting.,S,F2,didn't,NEG,a few,QD
121,I ignored a few senior managers at the meeting,even though they tried to engage me in conversation.,Sc,F1,na_control,na_control,na_control,na_control
121,I ignored a few senior managers at the meeting,since there were no senior managers at the meeting.,Sc,F2,na_control,na_control,na_control,na_control
122,I didn't read a book about hockey in Jamaica,because the topic didn't interest me.,S,F1,didn't,NEG,a/an,IND
122,I didn't read a book about hockey in Jamaica,since there is no such book.,S,F2,didn't,NEG,a/an,IND
122,I skipped a book about hockey in Jamaica,because the topic didn't interest me.,Sc,F1,na_control,na_control,na_control,na_control
122,I skipped a book about hockey in Jamaica,since there is no such book.,Sc,F2,na_control,na_control,na_control,na_control
124,I didn't attend a lecture on philosophy,although it seemed interesting.,S,F1,didn't,NEG,a/an,IND
124,I didn't attend a lecture on philosophy,since there was no such lecture.,S,F2,didn't,NEG,a/an,IND
124,I skipped a lecture on philosophy,although it seemed interesting.,Sc,F1,na_control,na_control,na_control,na_control
124,I skipped a lecture on philosophy,since there was no such lecture.,Sc,F2,na_control,na_control,na_control,na_control
125,I didn't bring all the documents,so I arrived with none of them.,S,F1,didn't,NEG,all,QD
125,I didn't bring all the documents,but I did bring most of them.,S,F2,didn't,NEG,all,QD
125,I forgot all of the documents,so I arrived with none of them.,Sc,F1,na_control,na_control,na_control,na_control
125,I forgot all of the documents,but I did bring most of them.,Sc,F2,na_control,na_control,na_control,na_control
